|DATE_YYYYMM         |SUM_DOSES                                 |SMOOTH_SUM                                |SMOOTH_AVG                                |
|--------------------|------------------------------------------|------------------------------------------|------------------------------------------|
|200601              |29572440.0                                |56772176.0                                |28386088.0                                |
|200602              |27199736.0                                |88865370.0                                |29621790.0                                |
|200603              |32093194.0                                |88525870.0                                |29508623.33                               |
|200604              |29232940.0                                |88670791.0                                |29556930.33                               |
|200605              |27344657.0                                |90301201.0                                |30100400.33                               |
|200606              |33723604.0                                |92972660.0                                |30990886.67                               |
|200607              |31904399.0                                |99404857.0                                |33134952.33                               |
|200608              |33776854.0                                |97134088.0                                |32378029.33                               |
|200609              |31452835.0                                |98522994.0                                |32840998.0                                |
|200610              |33293305.0                                |92549509.0                                |30849836.33                               |
|200611              |27803369.0                                |93620129.0                                |31206709.67                               |
|200612              |32523455.0                                |95038992.0                                |31679664.0                                |
|200701              |34712168.0                                |98884267.0                                |32961422.33                               |
|200702              |31648644.0                                |103444376.0                               |34481458.67                               |
|200703              |37083564.0                                |101382054.0                               |33794018.0                                |
|200704              |32649846.0                                |105515536.0                               |35171845.33                               |
|200705              |35782126.0                                |102926770.0                               |34308923.33                               |
|200706              |34494798.0                                |106033294.0                               |35344431.33                               |
|200707              |35756370.0                                |106966462.0                               |35655487.33                               |
|200708              |36715294.0                                |105475086.0                               |35158362.0                                |
|200709              |33003422.0                                |107324144.0                               |35774714.67                               |
|200710              |37605428.0                                |105834634.0                               |35278211.33                               |
|200711              |35225784.0                                |109617745.0                               |36539248.33                               |
|200712              |36786533.0                                |109732394.0                               |36577464.67                               |
|200801              |37720077.0                                |109654894.0                               |36551631.33                               |
|200802              |35148284.0                                |110088873.0                               |36696291.0                                |
|200803              |37220512.0                                |109420347.0                               |36473449.0                                |
|200804              |37051551.0                                |111805696.0                               |37268565.33                               |
|200805              |37533633.0                                |111639131.0                               |37213043.67                               |
|200806              |37053947.0                                |114568870.0                               |38189623.33                               |
|200807              |39981290.0                                |114355395.0                               |38118465.0                                |
|200808              |37320158.0                                |115852218.0                               |38617406.0                                |
|200809              |38550770.0                                |116495535.0                               |38831845.0                                |
|200810              |40624607.0                                |114940931.0                               |38313643.67                               |
|200811              |35765554.0                                |119436380.0                               |39812126.67                               |
|200812              |43046219.0                                |117079511.0                               |39026503.67                               |
|200901              |38267738.0                                |118311394.0                               |39437131.33                               |
|200902              |36997437.0                                |116931768.0                               |38977256.0                                |
|200903              |41666593.0                                |119188384.0                               |39729461.33                               |
|200904              |40524354.0                                |122185322.0                               |40728440.67                               |
|200905              |39994375.0                                |123093667.0                               |41031222.33                               |
|200906              |42574938.0                                |125009147.5                               |41669715.83                               |
|200907              |42439834.5                                |124205574.5                               |41401858.17                               |
|200908              |39190802.0                                |123146195.5                               |41048731.83                               |
|200909              |41515559.0                                |123314449.0                               |41104816.33                               |
